tD,tR_over_tD,time,samples,dt,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.98,1.02040816327,0,4,0.025,0.02311391364198569,0,0.05988302947328755,0,400,0
0.98,1.02040816327,0.1,4,0.025,0.02306466172865913,0,0.05974685360796583,0,363,0
0.98,1.02040816327,0.2,4,0.025,0.02301572608319261,0,0.05961238412487931,0,345,0
0.98,1.02040816327,0.3,4,0.025,0.02296789006719476,0,0.05947982287310514,0,335,0
0.98,1.02040816327,0.4,4,0.025,0.02292146396353621,0,0.05935066521151052,0,332,0
0.98,1.02040816327,0.5,4,0.025,0.02287658756796733,0,0.05922569888097023,0,330,0
0.98,1.02040816327,0.6,4,0.025,0.0228335043974561,0,0.05910558292548094,0,330,0
0.98,1.02040816327,0.7,4,0.025,0.02398967044614118,0.001197020158837503,0.05669329567637197,0.002297517077397044,330,0.25
0.98,1.02040816327,0.8,4,0.025,0.02395193936832053,0.001197665555753213,0.05667176043286924,0.002210258347149354,330,0.25
0.98,1.02040816327,0.9,4,0.025,0.02393118952217334,0.001212296065617193,0.05678498237354695,0.001995141319594237,330,0.25
0.98,1.02040816327,1,4,0.025,0.02393284635396352,0.001245793305518946,0.0570162327707225,0.001670146908431414,330,0.25
0.98,1.02040816327,1.1,4,0.025,0.02396063048482305,0.001301597487506203,0.05734270755410407,0.001258869063516863,330,0.25
0.98,1.02040816327,1.2,4,0.025,0.02401530620450616,0.001380730936420188,0.05774299906361777,0.0007826893602840296,330,0.25
0.98,1.02040816327,1.3,4,0.025,0.0240977252355512,0.001484163325871909,0.05819612427410939,0.0002624275009816476,330,0.25
0.98,1.02040816327,1.4,4,0.025,0.02421242444812496,0.001616056555670446,0.05866856720045698,0.0002680834612125427,340,0.25
0.98,1.02040816327,1.5,4,0.025,0.02436633254946257,0.001783110737013709,0.05910307595500935,0.0007511166982875645,359,0.25
0.98,1.02040816327,1.6,4,0.025,0.02456199236929236,0.001987533026311461,0.05943048084732865,0.001116881530395932,375,0.25
0.98,1.02040816327,1.7,4,0.025,0.02478918580934943,0.002219313494294676,0.05959991558934025,0.001314514851782191,398,0.25
0.98,1.02040816327,1.8,4,0.025,0.02589106732453705,0.002314561073872052,0.05964232847036252,0.001319582498016655,400,0.5
0.98,1.02040816327,1.9,4,0.025,0.02614477234529077,0.002512696237326253,0.05949705294141298,0.001172344939518345,400,0.5
0.98,1.02040816327,2,4,0.025,0.02639420980490737,0.002674040868866397,0.05921389821204497,0.0008655719499152961,400,0.5
0.98,1.02040816327,2.1,4,0.025,0.026640733841297,0.002804161637133956,0.05877764575673242,0.0003836255310028045,400,0.5
0.98,1.02040816327,2.2,4,0.025,0.02688477409409808,0.002917113361672672,0.05817272400060729,0.0003673221421309764,400,0.5
0.98,1.02040816327,2.3,4,0.025,0.02710876746610711,0.003010317831050977,0.05741959137657184,0.001270352736621755,400,0.5
0.98,1.02040816327,2.4,4,0.025,0.02727289831513813,0.003054129936041608,0.05658810478319566,0.002341249882008141,400,0.5
0.98,1.02040816327,2.5,4,0.025,0.0273310392017894,0.003010720093913304,0.05577796133694791,0.003478349606878224,400,0.5
0.98,1.02040816327,2.6,4,0.025,0.02725759457873497,0.002867104230712813,0.05508400144061049,0.0045910716383683,400,0.5
0.98,1.02040816327,2.7,4,0.025,0.02706809013434093,0.002652007409599845,0.05456745149368114,0.005623264354825936,400,0.5
0.98,1.02040816327,2.8,4,0.025,0.02781437447390265,0.002922055320383808,0.05391689156572919,0.006392461731716021,400,0.75
0.98,1.02040816327,2.9,4,0.025,0.02652799439908615,0.002521357150586363,0.05786020542958999,0.003357069696792342,400,1
0.98,1.02040816327,3,4,0.025,0.03541699217606683,0.00673325260176041,0.05590134754580604,0.004413023555099528,400,1.25
0.98,1.02040816327,3.1,4,0.025,0.03524939971513642,0.006815747891807327,0.05643742651197744,0.004837857334816146,400,1.25
0.98,1.02040816327,3.2,4,0.025,0.03425028674337013,0.0071005034959908,0.05709415326666825,0.00520078248280264,400,1.25
0.98,1.02040816327,3.3,4,0.025,0.0334774736128729,0.007184296989990735,0.05780852292921423,0.005495832897701896,400,1.25
0.98,1.02040816327,3.4,4,0.025,0.03356911246929077,0.006772515928151973,0.058513002086135,0.005718034691216321,400,1.25
0.98,1.02040816327,3.5,4,0.025,0.03414894387478602,0.006282181390149436,0.05910871572003735,0.005883688564566123,400,1.25
0.98,1.02040816327,3.6,4,0.025,0.03427681495145023,0.00601963033987885,0.05945252763891378,0.0060544068637682,400,1.25
0.98,1.02040816327,3.7,4,0.025,0.03346873543001318,0.005682222283129282,0.05942315828021089,0.006288808912043448,400,1.25
0.98,1.02040816327,3.8,4,0.025,0.03210657504137271,0.00512615626946752,0.05901344265637973,0.006539090188754336,400,1.25
0.98,1.02040816327,3.9,4,0.025,0.03086789347357479,0.004430596806358524,0.05829936483074392,0.006663969987612435,400,1.25
0.98,1.02040816327,4,4,0.025,0.03005888115047625,0.00375726667624604,0.0573110409321259,0.006607490790975781,400,1.25
0.98,1.02040816327,4.1,4,0.025,0.02950545997242976,0.003296843027883745,0.05600988926801242,0.006487236027713682,400,1.25
0.98,1.02040816327,4.2,4,0.025,0.02887565065285272,0.002974267783826706,0.05439870468397945,0.00644639686189565,400,1.25
0.98,1.02040816327,4.3,4,0.025,0.02803227930122826,0.002624359614013242,0.05259289533819145,0.006472657917516549,400,1.25
0.98,1.02040816327,4.4,4,0.025,0.02707383601533564,0.002347884598631328,0.05073951010978585,0.006437045803234518,400,1.25
0.98,1.02040816327,4.5,4,0.025,0.02616646176887782,0.00236732503612082,0.04889580150169667,0.006287527000275408,400,1.25
0.98,1.02040816327,4.6,4,0.025,0.02542715149349151,0.002667178073874768,0.04703565514108865,0.006125530602041867,400,1.25
0.98,1.02040816327,4.7,4,0.025,0.02487860089752311,0.002995462206426784,0.04516076360002559,0.006089609299897393,400,1.25
0.98,1.02040816327,4.8,4,0.025,0.02444951413539733,0.003153596239192543,0.04336493391767085,0.006217185754029753,400,1.25
0.98,1.02040816327,4.9,4,0.025,0.02404893399753482,0.003122901689083124,0.04177864104601191,0.006446962569499402,400,1.25
0.98,1.02040816327,5,4,0.025,0.02364470666862841,0.003010483300877191,0.04046321657358597,0.006708882467229164,400,1.25
0.98,1.02040816327,5.1,4,0.025,0.02328609537589603,0.002914453887276386,0.03937682096237595,0.006971657740193811,400,1.25
0.98,1.02040816327,5.2,4,0.025,0.02304882256814567,0.002843708831389628,0.03843287162408015,0.007232516234466514,400,1.25
0.98,1.02040816327,5.3,4,0.025,0.02295418524679579,0.002746281054995435,0.03759069576068972,0.007486844770754162,400,1.25
0.98,1.02040816327,5.4,4,0.025,0.01853050781797205,0.004631960955357163,0.03801245398956615,0.007368332438571113,400,1.5
0.98,1.02040816327,5.5,4,0.025,0.01871834131216588,0.004473959930549681,0.03766653453682072,0.007511884307119593,400,1.5
0.98,1.02040816327,5.6,4,0.025,0.01905722800630474,0.004136339294366945,0.03752926756604338,0.007599992492259303,400,1.5
0.98,1.02040816327,5.7,4,0.025,0.01469863198506331,0.004883258276934475,0.03543094804473707,0.005633576346998338,400,1.75
0.98,1.02040816327,5.8,4,0.025,0.01563090548629043,0.004397136011138856,0.0353953071174967,0.005622100424654755,400,1.75
0.98,1.02040816327,5.9,4,0.025,0.01700126143511826,0.003613444387547101,0.03513108620705055,0.005422791674056512,400,1.75
0.98,1.02040816327,6,4,0.025,0.01794512792266644,0.003168245060715587,0.03461490750924977,0.005089465527728256,400,1.75
0.98,1.02040816327,6.1,4,0.025,0.01811136560915629,0.00343395732062324,0.03382366962874277,0.004696008247597716,400,1.75
0.98,1.02040816327,6.2,4,0.025,0.01792125283040275,0.004136295823213337,0.03274266205344376,0.004283492719226849,400,1.75
0.98,1.02040816327,6.3,4,0.025,0.01802037456862437,0.004510121747870961,0.03139973679000725,0.003843980908030461,400,1.75
0.98,1.02040816327,6.4,4,0.025,0.01862891867723413,0.004272775845381789,0.02989737082696243,0.00339675326389441,400,1.75
0.98,1.02040816327,6.5,4,0.025,0.01945876382037307,0.003793056885591147,0.02840427628322592,0.003044716426505351,400,1.75
0.98,1.02040816327,6.6,4,0.025,0.02011813983269264,0.00348396571310684,0.02706739592345696,0.002875739587047778,400,1.75
0.98,1.02040816327,6.7,4,0.025,0.02048289183904723,0.003389161340297817,0.02592956923920532,0.002846044723603017,400,1.75
0.98,1.02040816327,6.8,4,0.025,0.02069899180428431,0.003322780892838413,0.02493716745163342,0.002875429564155253,400,1.75
0.98,1.02040816327,6.9,4,0.025,0.01986828023013988,0.002422461599489572,0.02540325705834521,0.003216956638743651,400,2
0.98,1.02040816327,7,4,0.025,0.02024388832904202,0.002146454123621108,0.02449946480347168,0.003284673747755612,400,2
0.98,1.02040816327,7.1,4,0.025,0.02061654364024108,0.001879218862900797,0.02383110910827552,0.003283638076330342,400,2
0.98,1.02040816327,7.2,4,0.025,0.02087027408182469,0.001672609632460735,0.02350961153431308,0.003149791235957882,400,2
0.98,1.02040816327,7.3,4,0.025,0.02092783858620996,0.001519202721133035,0.023534767519269,0.002915910596397095,400,2
0.98,1.02040816327,7.4,4,0.025,0.02080316464350688,0.001431812881963698,0.02377784539357347,0.002677844035591702,400,2
0.98,1.02040816327,7.5,4,0.025,0.02060447483148926,0.001443055770153229,0.02406721104036166,0.002477495359787719,400,2
0.98,1.02040816327,7.6,4,0.025,0.02045968707591101,0.001513236601279031,0.02429340244093131,0.002286020421160456,400,2
0.98,1.02040816327,7.7,4,0.025,0.02041642856745133,0.001561430636074037,0.02444383258291438,0.002112584297546387,400,2
0.98,1.02040816327,7.8,4,0.025,0.02042686618211612,0.001569964610909144,0.02455867474185759,0.002029614201727791,400,2
0.98,1.02040816327,7.9,4,0.025,0.02042531705910854,0.001583893860027853,0.02466636075158846,0.002065959880115804,400,2
0.98,1.02040816327,8,4,0.025,0.02041250489415206,0.001648885467987307,0.02472511291035737,0.002164059854229996,400,2
0.98,1.02040816327,8.1,4,0.025,0.01722977114111784,0.004732550889810538,0.03158686266157063,0.007990201910906117,400,2.25
0.98,1.02040816327,8.2,4,0.025,0.0174557024352135,0.004520853635203988,0.03201530751193506,0.008815385684747528,400,2.25
0.98,1.02040816327,8.3,4,0.025,0.01762057869488488,0.004200200802943755,0.03175865920617887,0.009024863837699485,400,2.25
0.98,1.02040816327,8.4,4,0.025,0.01777367490716045,0.00377120203044427,0.03149906122567934,0.009166466133643563,400,2.25
0.98,1.02040816327,8.5,4,0.025,0.0174403484138816,0.003815545477524586,0.03261770461997545,0.01053542585859823,400,2.5
0.98,1.02040816327,8.6,4,0.025,0.01781022704427088,0.003283320791062245,0.03303420385230792,0.01115107424517125,400,2.5
0.98,1.02040816327,8.7,4,0.025,0.01827972737977539,0.002714537384257586,0.03306761965530438,0.01142404991786284,400,2.5
0.98,1.02040816327,8.8,4,0.025,0.01767439132764623,0.001925185023734551,0.03108876725987587,0.01142899748194734,400,2.75
0.98,1.02040816327,8.9,4,0.025,0.01799852392133524,0.001544332972113579,0.02985060910089905,0.01046563046506133,400,2.75
0.98,1.02040816327,9,4,0.025,0.01819589869552807,0.001310204012101823,0.02861772482526342,0.009452217024320505,400,2.75
0.98,1.02040816327,9.1,4,0.025,0.01831395848645185,0.001270955835776526,0.02764616924259168,0.008666813538503492,400,2.75
0.98,1.02040816327,9.2,4,0.025,0.01838081702900368,0.001356275021742053,0.02680377135528443,0.008049241556020702,400,2.75
0.98,1.02040816327,9.3,4,0.025,0.01840208968778839,0.001472365742112523,0.02589466822321971,0.007436633651197316,400,2.75
0.98,1.02040816327,9.4,4,0.025,0.01827394064411363,0.001534692866467447,0.02677260935568046,0.008548238707740737,400,3
0.98,1.02040816327,9.5,4,0.025,0.01815829224166755,0.001610217497125428,0.02538848810901554,0.007502339912461113,400,3
0.98,1.02040816327,9.6,4,0.025,0.01801283780833833,0.001698688019226616,0.02468332895247635,0.007136199616994891,400,3
0.98,1.02040816327,9.7,4,0.025,0.01784741010353202,0.001797245532842973,0.02433073366307025,0.007152304366779398,400,3
0.98,1.02040816327,9.8,4,0.025,0.01767381695350963,0.0018912940485718,0.02385780497925739,0.007081292214583968,400,3
0.98,1.02040816327,9.9,4,0.025,0.01762666963569329,0.001887769476442131,0.02325674498885036,0.006641662572719443,400,3.25
0.98,1.02040816327,10,4,0.025,0.01742758564976168,0.002021988289351425,0.02234068902744214,0.006081811805289068,400,3.25
0.98,1.02040816327,10.1,4,0.025,0.01726782498902362,0.002183456402412608,0.02146164413624265,0.005525066604805944,400,3.25
0.98,1.02040816327,10.2,4,0.025,0.01717414364731253,0.002365025547737303,0.02072224600425575,0.005106819763301855,400,3.25
