tD,tR_over_tD,time,samples,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.98,1.02040816327,0,4,0.02163772651773256,0,0.06025784985001684,0,100,0
0.98,1.02040816327,0.05,4,0.0216120334010848,0,0.0601875304507363,0,100,0
0.98,1.02040816327,0.1,4,0.02158675500887344,0,0.06011737333690794,0,100,0
0.98,1.02040816327,0.15,4,0.02156176991807211,0,0.06004758706328798,0,100,0
0.98,1.02040816327,0.2,4,0.02153691392081701,0,0.05997813890376512,0,100,0
0.98,1.02040816327,0.25,4,0.02151211137437456,0,0.05990911774334449,0,100,0
0.98,1.02040816327,0.3,4,0.02148653438852884,0,0.05983972551590884,0,100,0
0.98,1.02040816327,0.35,4,0.0214602851505662,0,0.05977086401168837,0,100,0
0.98,1.02040816327,0.4,4,0.02023845375298165,0.001191219645829594,0.06073041568140773,0.001032853806092374,100,0.25
0.98,1.02040816327,0.45,4,0.02022730496011249,0.00116674926562535,0.06064738495571307,0.001029615292278942,100,0.25
0.98,1.02040816327,0.5,4,0.02018997247335892,0.001154755371144002,0.06053227184507679,0.001025045843463308,100,0.25
0.98,1.02040816327,0,8,0.02163772651773255,1.311327688828617e-18,0.06025784985001682,5.24531075531447e-18,100,0
0.98,1.02040816327,0.05,8,0.0216120334010848,1.311327688828617e-18,0.06018753045073631,5.24531075531447e-18,100,0
0.98,1.02040816327,0.1,8,0.02158675500887344,0,0.06011737333690793,2.622655377657235e-18,100,0
0.98,1.02040816327,0.15,8,0.02156176991807211,0,0.06004758706328799,2.622655377657235e-18,100,0
0.98,1.02040816327,0.2,8,0.02153691392081702,1.311327688828617e-18,0.05997813890376513,2.622655377657235e-18,100,0
0.98,1.02040816327,0.25,8,0.02151211137437456,0,0.0599091177433445,2.622655377657235e-18,100,0
0.98,1.02040816327,0.3,8,0.02148653438852885,1.311327688828617e-18,0.05983972551590883,2.622655377657235e-18,100,0
0.98,1.02040816327,0.35,8,0.0214602851505662,1.311327688828617e-18,0.05977086401168836,2.622655377657235e-18,100,0
0.98,1.02040816327,0.4,8,0.02083406357589645,0.0005956098229147972,0.06021398877836155,0.0005164269030461868,100,0.125
0.98,1.02040816327,0.45,8,0.02081067959292517,0.0005833746328126747,0.0601325773095736,0.0005148076461394708,100,0.125
0.98,1.02040816327,0.5,8,0.02076735015893092,0.0005773776855720012,0.06001974892334515,0.0005125229217316542,100,0.125
0.98,1.02040816327,0,16,0.02163772651773255,1.791614702062191e-18,0.06025784985001682,5.374844106186573e-18,100,0
0.98,1.02040816327,0.05,16,0.0216120334010848,8.958073510310954e-19,0.06018753045073632,5.374844106186573e-18,100,0
0.98,1.02040816327,0.1,16,0.0215490566627102,3.769834616323356e-05,0.06044583158016673,0.0003284582432587983,100,0.0625
0.98,1.02040816327,0.15,16,0.02152404287045152,3.772704762059495e-05,0.06040776358945726,0.0003601765261692938,100,0.0625
0.98,1.02040816327,0.2,16,0.021498775086945,3.813883387201643e-05,0.06035469360811362,0.0003765547043484982,100,0.0625
0.98,1.02040816327,0.25,16,0.0214732182316824,3.889314269216031e-05,0.06028541394085962,0.0003762961975151135,100,0.0625
0.98,1.02040816327,0.3,16,0.02144681579419459,3.971859433424653e-05,0.0601980978491027,0.0003583723331938485,100,0.0625
0.98,1.02040816327,0.35,16,0.02141951264764382,4.07725029223753e-05,0.06009284326884974,0.0003219792571613651,100,0.0625
0.98,1.02040816327,0.4,16,0.02108965381711627,0.0002979825702740158,0.06022245717862752,0.0003586250843149468,100,0.125
0.98,1.02040816327,0.45,16,0.02105689050646904,0.0002922001741641126,0.06006690979252216,0.0003105463756313087,100,0.125
0.98,1.02040816327,0.5,16,0.02100271707552838,0.0002900551954474257,0.05985919537789382,0.0002675065881469151,100,0.125
0.98,1.02040816327,0,32,0.02163772651773255,6.231310676715024e-19,0.06025784985001682,2.49252427068601e-18,100,0
0.98,1.02040816327,0.05,32,0.02161203340108479,1.869393203014507e-18,0.06018753045073626,6.231310676715024e-18,100,0
0.98,1.02040816327,0.1,32,0.02156790583579182,1.884917308161679e-05,0.06028160245853738,0.0001642291216293992,100,0.03125
0.98,1.02040816327,0.15,32,0.02154290639426182,1.886352381029748e-05,0.06022767532637261,0.0001800882630846469,100,0.03125
0.98,1.02040816327,0.2,32,0.02151784450388101,1.906941693600822e-05,0.06016641625593933,0.000188277352174249,100,0.03125
