tD,tR_over_tD,time,samples,dt,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.98,1.02040816327,8,4,0.025,0.01750955759789359,0.001560105017808459,0.02049640527622491,0.002335719388990373,100,0
0.98,1.02040816327,8.1,4,0.025,0.01446561067808717,0.00412538319464457,0.02716500911871322,0.00876485331197099,100,0.25
0.98,1.02040816327,8.2,4,0.025,0.01457399646816481,0.00392230454626661,0.02754271304246714,0.009545517008636525,100,0.25
0.98,1.02040816327,8.3,4,0.025,0.01462671530369041,0.003625401887813569,0.0272955845729831,0.009680056653666096,100,0.25
0.98,1.02040816327,8.4,4,0.025,0.01468103968971067,0.003271161878091839,0.02704098834351845,0.009739240935566024,100,0.25
0.98,1.02040816327,8.5,4,0.025,0.01428162341256675,0.003366749831004839,0.02805836536412068,0.01096632759190585,100,0.5
0.98,1.02040816327,8.6,4,0.025,0.01452249688769684,0.003004279466637479,0.02847904408066126,0.01152672944439042,100,0.5
0.98,1.02040816327,8.7,4,0.025,0.01483744470920664,0.002645335841256166,0.02858621877235223,0.01174363845605459,100,0.5
0.98,1.02040816327,8.8,4,0.025,0.01514150731716922,0.002333029197146016,0.02885561174818446,0.01090408992163589,100,0.75
0.98,1.02040816327,8.9,4,0.025,0.01529713114117943,0.002084911513974634,0.02761918031549374,0.009926702714253111,100,0.75
0.98,1.02040816327,9,4,0.025,0.01537655849317173,0.001962734502179726,0.02629682766842404,0.008917267672122928,100,0.75
0.98,1.02040816327,9.1,4,0.025,0.01547749468967494,0.001973825026441791,0.02520319405549235,0.008138874025148318,100,0.75
0.98,1.02040816327,9.2,4,0.025,0.01559653032212134,0.002057250095146722,0.02428935553090272,0.007519154817290986,100,0.75
0.98,1.02040816327,9.3,4,0.025,0.01566740625394839,0.002158714891025607,0.02335945153089681,0.006893150375647032,100,0.75
0.98,1.02040816327,9.4,4,0.025,0.01549289002822357,0.002208165590658753,0.02438892148202813,0.008144861504748368,100,1
0.98,1.02040816327,9.5,4,0.025,0.01539390065077987,0.002284349275951608,0.02288077559594779,0.007026690808623903,100,1
0.98,1.02040816327,9.6,4,0.025,0.01529690161193,0.002353144833310863,0.02203232483276431,0.006598984058456039,100,1
0.98,1.02040816327,9.7,4,0.025,0.0152144000896907,0.00241305416064292,0.02153960811856917,0.006582860495775121,100,1
0.98,1.02040816327,9.8,4,0.025,0.01510771385476659,0.002462864949612561,0.02093135355886483,0.006511626205727385,100,1
0.98,1.02040816327,9.9,4,0.025,0.01471786485340244,0.002677769694636412,0.02039853402823604,0.005962316057706595,100,1.25
0.98,1.02040816327,10,4,0.025,0.01462007116309011,0.002668225002406789,0.01937632033590855,0.00537752918266167,100,1.25
0.98,1.02040816327,8,8,0.025,0.02061227293961155,0.004022099012583087,0.02383717562594684,0.002192919750302224,100,0
0.98,1.02040816327,8.1,8,0.025,0.0187596658810738,0.004236879141952897,0.02654039090099989,0.004258059820806502,100,0.125
0.98,1.02040816327,8.2,8,0.025,0.01849861586908817,0.003784443012113718,0.0261101214080861,0.004595219026038914,100,0.125
0.98,1.02040816327,8.3,8,0.025,0.0165572356690897,0.00348453398487192,0.02529505703682738,0.004645700353662878,100,0.25
0.98,1.02040816327,8.4,8,0.025,0.01644713002571479,0.002989866420745438,0.02485890032966644,0.0046670987128091,100,0.25
0.98,1.02040816327,8.5,8,0.025,0.01621345811434033,0.002664666105798467,0.02501626765482561,0.005263846921596799,100,0.375
0.98,1.02040816327,8.6,8,0.025,0.01633618522774069,0.002237114295742848,0.02471597587483464,0.005563793393818469,100,0.375
0.98,1.02040816327,8.7,8,0.025,0.01653379992575468,0.001860965764993725,0.02416032790677052,0.00571850309435757,100,0.375
0.98,1.02040816327,8.8,8,0.025,0.01677529507878356,0.001573669777491873,0.0237294249277412,0.005433563544475885,100,0.5
0.98,1.02040816327,8.9,8,0.025,0.01695745858110649,0.001394787276987466,0.02267580164543992,0.004987458392618084,100,0.5
0.98,1.02040816327,9,8,0.025,0.0171124520480276,0.001317067642747416,0.02198845203781662,0.004493605149610736,100,0.625
0.98,1.02040816327,9.1,8,0.025,0.01719199891850483,0.001313693477629191,0.02118550512793988,0.004121899318382155,100,0.625
0.98,1.02040816327,9.2,8,0.025,0.01735160433978448,0.001333898836871494,0.02068412687859875,0.003793304180745059,100,0.75
0.98,1.02040816327,9.3,8,0.025,0.01727158311958674,0.001369093091681801,0.01999063762022629,0.003497867733201964,100,0.75
0.98,1.02040816327,9.4,8,0.025,0.01695125994621439,0.0013836061112317,0.02007425604483614,0.004151024537876935,100,1
0.98,1.02040816327,9.5,8,0.025,0.01665663814534513,0.001369220642491965,0.01928681772420606,0.003581960239730369,100,1
0.98,1.02040816327,9.6,8,0.025,0.01626665247366611,0.001357941403250739,0.01887815619036158,0.003350435947064734,100,1
0.98,1.02040816327,9.7,8,0.025,0.01585646055236455,0.001360215781828991,0.01869079653729765,0.003314461722917785,100,1
0.98,1.02040816327,9.8,8,0.025,0.01545246734112744,0.001360226835801666,0.01843966213318593,0.003244397875171475,100,1
0.98,1.02040816327,9.9,8,0.025,0.01491449248302225,0.001416253429305298,0.0181604333823896,0.002975479719788902,100,1.125
0.98,1.02040816327,10,8,0.025,0.01449800296197503,0.00138255056933282,0.0175454196828182,0.002679021799088546,100,1.125
0.98,1.02040816327,8,16,0.025,0.01862425188767221,0.002092844417963766,0.02676000796753307,0.003343085835236683,100,0
0.98,1.02040816327,8.1,16,0.025,0.01769027835628611,0.002147191136705853,0.02791497566776464,0.003709106719326176,100,0.0625
0.98,1.02040816327,8.2,16,0.025,0.01740171949793477,0.001925581884761025,0.02740240330276673,0.003765983318255991,100,0.125
0.98,1.02040816327,8.3,16,0.025,0.01634730369289037,0.001766991461263235,0.02684742089467272,0.003781373944364253,100,0.1875
0.98,1.02040816327,8.4,16,0.025,0.0160977721619814,0.001571455931738218,0.02595279977934619,0.003932621391743589,100,0.25
0.98,1.02040816327,8.5,16,0.025,0.01589791605597388,0.001444718560887448,0.02585358208552641,0.004097340048589244,100,0.3125
0.98,1.02040816327,8.6,16,0.025,0.01592345788077123,0.001280299554633491,0.02552839264609186,0.00418996777912134,100,0.3125
0.98,1.02040816327,8.7,16,0.025,0.01597918797244692,0.001154408048990587,0.02506868873404965,0.004243258984450033,100,0.3125
0.98,1.02040816327,8.8,16,0.025,0.01602011918952809,0.001087312267835996,0.02463731420031078,0.00414957741886393,100,0.375
0.98,1.02040816327,8.9,16,0.025,0.01606399877045276,0.001062185771165645,0.02388299252221203,0.003992027654067144,100,0.4375
0.98,1.02040816327,9,16,0.025,0.01608310214226104,0.001061364233469882,0.02325317949639309,0.00381304570100073,100,0.5
0.98,1.02040816327,9.1,16,0.025,0.01623735589145143,0.001092215066328244,0.02245296455401176,0.003578935770295509,100,0.5625
0.98,1.02040816327,9.2,16,0.025,0.01629570905562359,0.001085708412795014,0.02200181069810261,0.003467144168188819,100,0.625
0.98,1.02040816327,9.3,16,0.025,0.01625029500578571,0.001053298585608027,0.02145975538033564,0.003385457864484374,100,0.6875
0.98,1.02040816327,9.4,16,0.025,0.01601447857967657,0.001031852312832895,0.0213361888403777,0.003521031249867046,100,0.8125
0.98,1.02040816327,9.5,16,0.025,0.01577230467978569,0.001005370872768385,0.02075537596545553,0.003337967269581222,100,0.8125
0.98,1.02040816327,9.6,16,0.025,0.01547795940943226,0.0009761886833222548,0.02035659384471609,0.003232134211973446,100,0.8125
0.98,1.02040816327,9.7,16,0.025,0.01516552334727796,0.0009532157891752471,0.02008376087422242,0.003170587017310392,100,0.8125
0.98,1.02040816327,9.8,16,0.025,0.01483910940524978,0.0009392357647835457,0.01979530147519959,0.003107036934636347,100,0.8125
0.98,1.02040816327,9.9,16,0.025,0.01349168950265334,0.00125038750164782,0.01903385366120186,0.002980119613359746,100,0.9375
0.98,1.02040816327,10,16,0.025,0.01318578585774186,0.001252692240956775,0.01862019136375695,0.002865702614513387,100,0.9375
0.98,1.02040816327,8,32,0.025,0.01719029424073688,0.001435896637084038,0.02414499320007556,0.002630011227013804,100,0
0.98,1.02040816327,8.1,32,0.025,0.01654308877198941,0.00144937301431087,0.02462975317070881,0.002756313111964968,100,0.09375
0.98,1.02040816327,8.2,32,0.025,0.01635130291820087,0.001362010589817339,0.0242332531790598,0.002768176071062737,100,0.125
0.98,1.02040816327,8.3,32,0.025,0.01578836052179424,0.001300428233949504,0.02381486186792162,0.002764809684079424,100,0.15625
0.98,1.02040816327,8.4,32,0.025,0.01562981505529942,0.001249438834770857,0.02320447952465037,0.00279972900281321,100,0.1875
0.98,1.02040816327,8.5,32,0.025,0.01548753468463218,0.001232884052503332,0.02295938257013422,0.002854466374424494,100,0.21875
0.98,1.02040816327,8.6,32,0.025,0.01547802557176651,0.001207532691204494,0.02258448792116702,0.002885961917237367,100,0.25
0.98,1.02040816327,8.7,32,0.025,0.01543888859524272,0.001198884209449461,0.02216561834611503,0.002904318300525799,100,0.25
0.98,1.02040816327,8.8,32,0.025,0.0153736078075623,0.001205808873433744,0.02178378283818703,0.002875143180316104,100,0.28125
0.98,1.02040816327,8.9,32,0.025,0.01549146758865179,0.001211425986459118,0.02128454325213927,0.002823940221523533,100,0.40625
0.98,1.02040816327,9,32,0.025,0.01542990497428228,0.001247525469470329,0.02077567630032845,0.002777490500657749,100,0.46875
0.98,1.02040816327,9.1,32,0.025,0.0153701638429225,0.00128054664544484,0.02023687106862555,0.002713759315708187,100,0.53125
0.98,1.02040816327,9.2,32,0.025,0.01524981473065884,0.00129427991949179,0.01981813712521428,0.002702483132490604,100,0.5625
0.98,1.02040816327,9.3,32,0.025,0.01506941627849634,0.001284194337989682,0.01914004559191883,0.00267039595505272,100,0.65625
0.98,1.02040816327,9.4,32,0.025,0.01502462615726021,0.001302107350746923,0.01890460556455094,0.002727419671966596,100,0.75
0.98,1.02040816327,9.5,32,0.025,0.01475018582236858,0.001279726622523094,0.01844601396927478,0.002656580681323279,100,0.78125
0.98,1.02040816327,9.6,32,0.025,0.01449290830240541,0.001238413130284424,0.01809962510687062,0.002590906411297974,100,0.8125
0.98,1.02040816327,9.7,32,0.025,0.01417759583584386,0.001205815559279237,0.01768270946657017,0.00254624381315367,100,0.84375
0.98,1.02040816327,9.8,32,0.025,0.01383812023522334,0.001173183221240866,0.01732375776560817,0.002479104711751673,100,0.84375
0.98,1.02040816327,9.9,32,0.025,0.01299116620058794,0.001199346488666077,0.0167352306443516,0.002373443245676624,100,0.90625
0.98,1.02040816327,10,32,0.025,0.01244351207848964,0.001145644362063408,0.01628417724425625,0.002264517876965194,100,0.9375
0.98,1.02040816327,8,64,0.025,0.01617031402641469,0.000898622709592688,0.02180074758360116,0.001553387267582782,100,0
0.98,1.02040816327,8.1,64,0.025,0.01574995793469972,0.0009108043661137119,0.02176001473566302,0.001629114061044628,100,0.09375
0.98,1.02040816327,8.2,64,0.025,0.01559982106405174,0.0008482757670735469,0.02140919104467342,0.001626268242059966,100,0.171875
