time,samples,odd_slope,odd_slope_stderr,even_slope,even_slope_stderr
0,4,-0.9411143414742811,0,0.9469432931419586,0
0.1,4,-0.9389158239182435,0,0.9447217667486707,0
0.2,4,-0.9367244208309563,0,0.9425083241562928,0
0.3,4,-0.9345721939669704,0,0.9403224543270241,0
0.4,4,-0.9324651180763446,0,0.9381846412251419,0
0.5,4,-0.9304370542839655,0,0.9361102744460207,0
0.6,4,-0.9284900075882235,0,0.9341155263199356,0
0.7,4,-0.9330280561365969,0.006393277134442765,0.9384991565977893,0.006297558510017481
0.8,4,-0.9313222480634901,0.006443680289144327,0.9366964046954068,0.006320582376021289
0.9,4,-0.9298473877908882,0.006608459633003965,0.9350262265177467,0.00637583031708655
1,4,-0.9287022388693744,0.006965491864407203,0.9335644151738275,0.006525964074395818
1.1,4,-0.9280080890925064,0.007627894810761177,0.932399647234761,0.006848583560527838
1.2,4,-0.9278807137982839,0.008716972149848401,0.9316687077756149,0.00747444893017063
1.3,4,-0.9284282813478045,0.01034006879583596,0.931509556430788,0.008537101348235626
1.4,4,-0.9297276925393698,0.01257629600312377,0.9320385777213303,0.01014884773283892
1.5,4,-0.9318269191938242,0.01545024998404682,0.9333171224819329,0.01237690787960896
1.6,4,-0.9346999743512588,0.01892438683878236,0.935367724436341,0.01524035875831264
1.7,4,-0.9382426538694512,0.02290929463142699,0.9381902186816612,0.01873503900271156
1.8,4,-0.9613758507956411,0.0275748231769759,0.947909232181505,0.02155289988570601
1.9,4,-0.9674407551187405,0.03162291117641376,0.9521205015215766,0.02590253681525916
2,4,-0.9745057235313135,0.03584683852179991,0.9566974610170351,0.03040477736161
2.1,4,-0.9817804754094777,0.03976513735699768,0.9613244107907279,0.03465834583701075
2.2,4,-0.9883888914003582,0.04299708424813297,0.9656889109200468,0.03819862340874008
2.3,4,-0.9935575823514395,0.04529266453379113,0.9695061620110629,0.04058602013550357
2.4,4,-0.9967160330142794,0.04656315959713077,0.972476464000347,0.04141372341629285
2.5,4,-0.9973105580257167,0.04678791337054134,0.9742836031089068,0.04039517728801465
2.6,4,-0.9946969340195281,0.04597149420962194,0.9744817031310109,0.03734277100920642
2.7,4,-0.9882150116509524,0.0442276924827826,0.9728806134846634,0.03273396718406964
2.8,4,-0.9815312224024856,0.04585541740756876,0.9687057215946169,0.02782509285388032
2.9,4,-0.709173284889,0.2749123869790029,0.7722118413112601,0.1880745121016789
3,4,-0.8059940759305071,0.3180320442555039,0.7528813876095846,0.187469334357872
3.1,4,-0.7921297242618518,0.3239224786573394,0.7603773388633925,0.1904532316475015
3.2,4,-0.7715938231461272,0.3316790747399385,0.7698079171615776,0.1929996537391889
3.3,4,-0.7481648051340239,0.3346375590931544,0.7796124111719221,0.1955848981902859
3.4,4,-0.7245936168295792,0.3300552534160726,0.788158871173145,0.1986278441757125
3.5,4,-0.7008852122096063,0.3200775177065918,0.7940562962401361,0.2023186823951852
3.6,4,-0.6747563610755098,0.3080757779206462,0.7963569520383258,0.2065785135050184
3.7,4,-0.6440629804991945,0.2948759258470835,0.7942163556747011,0.2112724904424979
3.8,4,-0.6091883607267221,0.2790888643087119,0.7864877090371593,0.2161616460144334
3.9,4,-0.572750266745105,0.2606292812265135,0.7720635247509695,0.2206775956162459
4,4,-0.5379989598570399,0.2418630087201811,0.7507127050493956,0.224059075763867
4.1,4,-0.5069026458248145,0.225935902764809,0.7235437418517687,0.2259171151725601
4.2,4,-0.4792033948537577,0.2146470160758614,0.6924631612623249,0.2264190013954131
4.3,4,-0.4532225380661439,0.2078141992908464,0.6587907671406347,0.2261180541070957
4.4,4,-0.4277334022032904,0.2042490328338684,0.6228330200059971,0.2254979123926641
4.5,4,-0.4036710479381806,0.2026858790791158,0.5845806459689106,0.2246511229531534
4.6,4,-0.3842441509428816,0.2021848818589827,0.5448891146234126,0.2235225676424814
4.7,4,-0.3725695367908094,0.2020616768433742,0.5059376927829202,0.222241681152901
4.8,4,-0.3685776082883637,0.2019329816497241,0.4703787930251819,0.2211975846671849
4.9,4,-0.3684929102372093,0.2018389058609114,0.4401959399246735,0.2206926685015688
5,4,-0.3682440938964558,0.201774459202292,0.4159793184431996,0.22062352299214
5.1,4,-0.3671287123427102,0.2015287480263349,0.3971401367018096,0.2205925182368317
5.2,4,-0.3674718696192085,0.2010573561387353,0.3827903491200504,0.2201383377175273
5.3,4,-0.3709748430020537,0.2005762731721268,0.3723793983701629,0.2191951325425873
5.4,4,-0.368711251975112,0.204192621250453,0.3281053044823099,0.2331150988481694
5.5,4,-0.3705788708724185,0.2052955902248692,0.3257880536016842,0.2325293710775688
5.6,4,-0.3723282188804394,0.2047685674005209,0.3262878984140702,0.2327685152731782
5.7,4,-0.1497052567296905,0.09373628765104533,0.3074688738124198,0.214763334219011
5.8,4,-0.1639821317071543,0.08595325897512827,0.3099008306724143,0.21347954214988
5.9,4,-0.1898011434799012,0.08018580349648877,0.3085991539574203,0.2084378364056665
6,4,-0.2005085768270686,0.08003558102262333,0.3028973843825209,0.2007963213730582
6.1,4,-0.1873910730799001,0.07611475468758176,0.2923331407182586,0.192099146938565
6.2,4,-0.1670542240436024,0.073932967462915,0.2768826479142892,0.1828183803797838
6.3,4,-0.1611985681056057,0.07140438651700869,0.2570224574759757,0.1721483557185732
6.4,4,-0.1751225389181786,0.06729102854138848,0.2338222213009061,0.1596181445814185
6.5,4,-0.1969088800405809,0.07177242562174004,0.2094817098317647,0.1462712623401118
