time,samples,odd_slope,odd_slope_stderr,even_slope,even_slope_stderr
0,4,-0.9565283969804188,0,0.9714583645084371,0
0.1,4,-0.9543137116099866,0,0.9691642633375079,0
0.2,4,-0.9521332547556933,0,0.9668817682157885,0
0.3,4,-0.9499979153333152,0,0.9646222929759732,0
0.4,4,-0.947880606776011,0,0.9624042473465352,0
0.5,4,-0.9458183401887932,0,0.9602304864614254,0
0.6,4,-0.9438502267789661,0,0.958143365886262,0
0.7,4,-0.9482445678165312,0.006242359776545414,0.9622869933435011,0.006102338005420427
0.8,4,-0.9465769079647971,0.006275424424990766,0.9604869323292418,0.006119197558225486
0.9,4,-0.9452071851658362,0.006448826669539026,0.9588139923535662,0.006171990385558213
1,4,-0.9441323437310123,0.006809258449169213,0.9573305645390305,0.006389308581993824
1.1,4,-0.9434485965338512,0.007501371237906534,0.9562033689071179,0.006878056886309381
1.2,4,-0.9432232089383975,0.008557043239222795,0.9554827305851427,0.007603386058230826
1.3,4,-0.9436850670369615,0.01008078112821301,0.9552526600812167,0.008662561754441606
1.4,4,-0.9450178829241727,0.01223997013047073,0.9559255522712021,0.01044933654472693
1.5,4,-0.9472016341990905,0.01509584747031356,0.9573969878614433,0.01282986979739853
1.6,4,-0.9501827571374994,0.01861890235637903,0.9596515654085866,0.01583038417434324
1.7,4,-0.9538768920607019,0.0226935786614034,0.9626266834100626,0.0194682150868575
1.8,4,-0.977173018542828,0.02753051800548875,0.9720340123034493,0.02241027011282075
1.9,4,-0.9834720167562703,0.03178047497365209,0.9762618310824804,0.02689915956294935
2,4,-0.9908678962176198,0.03624826055811838,0.980884800870893,0.03143231724633667
2.1,4,-0.9986753062897663,0.04045842499499558,0.9856049028310006,0.03559015620308552
2.2,4,-1.005906008159528,0.04398426531098487,0.9902472929142531,0.0390414479511559
2.3,4,-1.011499755283259,0.04646776123775671,0.9944276750924512,0.0414621585738698
2.4,4,-1.015035413211697,0.04788641444841108,0.9975983747022221,0.0424456588807442
2.5,4,-1.016203331047727,0.04833010455558583,0.9993639084161332,0.04153239353517992
2.6,4,-1.014092279126681,0.04762869927155513,0.9994643937646522,0.03844090367268625
2.7,4,-1.007820960757544,0.04576092389082686,0.9976363784909827,0.03350757033140446
2.8,4,-1.003389895697792,0.04930168188623764,0.9938659196052195,0.0285965969143116
2.9,4,-0.7245446844531129,0.2815368411575365,0.7948766772815934,0.1909341994370435
3,4,-0.8275119361055988,0.3268845112485268,0.7755071758891051,0.1907246884832232
3.1,4,-0.8137024314543533,0.3327145874111732,0.7830542388782893,0.1941517290484513
3.2,4,-0.7927490518587393,0.3406795217907978,0.792451929259501,0.1971819419752359
3.3,4,-0.7684136818540317,0.3441119862067624,0.8022215788922304,0.2003295354839617
3.4,4,-0.74338074145109,0.3399874587112867,0.8109345038591453,0.2040102370044437
3.5,4,-0.7180011728931698,0.3302704646629636,0.817249302576099,0.2082880083169101
3.6,4,-0.6899488306695392,0.3183745728239102,0.8203158038317585,0.2129928739872985
3.7,4,-0.6570081738886132,0.305167725248809,0.8190625161509899,0.217672363606312
3.8,4,-0.6196220738769131,0.2893092209855224,0.8120428647787377,0.2220362848830483
